# x l forward_absolute forward_relative backward_absolute backward_relative
0.50 28 1.38777878078144568e-17 1.21907787398149722e-16 4.47689681750595425e-02 3.93267711677110110e-01
0.50 29 1.38777878078144568e-17 3.42833377638477802e-16 1.74725104508330098e+00 4.31636501194353102e+01
0.50 30 0.00000000000000000e+00 0.00000000000000000e+00 8.82454313256203493e-03 5.88896424600690305e-02
0.50 31 4.16333634234433703e-17 3.84575369741416892e-16 4.26322161037688829e-02 3.93801963685952383e-01
0.50 32 1.38777878078144568e-17 3.59532252941655202e-16 1.65967633007074222e+00 4.29972830228944503e+01
0.50 33 2.77555756156289135e-17 1.94105544683316055e-16 8.44239370539168199e-03 5.90409455494522450e-02
0.50 34 4.16333634234433703e-17 4.02546125898648907e-16 4.07748979723804583e-02 3.94245765007109117e-01
0.50 35 2.77555756156289135e-17 7.50980465278019277e-16 1.58403845878933303e+00 4.28592062104468496e+01
0.50 36 2.77555756156289135e-17 2.02598468804928911e-16 8.10579318389265113e-03 5.91672574277782512e-02
0.50 37 2.77555756156289135e-17 2.79832453575713909e-16 3.91409681564356404e-02 3.94620284811415922e-01
0.50 38 2.08166817117216851e-17 5.86196800301824813e-16 1.51785659832130593e+00 4.27427720505494619e+01
0.50 39 2.77555756156289135e-17 2.10749585915552015e-16 7.80638377591889865e-03 5.92742939673136654e-02
0.50 40 5.55111512312578270e-17 5.81698415126797908e-16 3.76889552116437682e-02 3.94940566501043200e-01
0.50 41 2.77555756156289135e-17 8.11057310600683462e-16 1.45931528309780623e+00 4.26432636533509282e+01
0.50 42 2.77555756156289135e-17 2.18597101225721668e-16 7.53780228598499580e-03 5.93661523056689885e-02
0.50 43 4.16333634234433703e-17 4.52195720631818631e-16 3.63874246180848071e-02 3.95217593393994315e-01
0.50 44 6.93889390390722838e-18 2.09871613079405370e-16 1.40705157673693937e+00 4.25572415697869886e+01
0.50 45 1.38777878078144568e-17 1.13086297340638713e-16 7.29510871503653846e-03 5.94458457432509441e-02
0.50 46 2.77555756156289135e-17 3.11717322321215181e-16 3.52120567409168056e-02 3.95459571536346699e-01
0.50 47 1.38777878078144568e-17 4.33492284752555734e-16 1.36001984279763444e+00 4.24821388774357374e+01
0.50 48 2.77555756156289135e-17 2.33502525410012760e-16 7.07440245854093486e-03 5.95156397659411737e-02
0.50 49 4.16333634234433703e-17 4.82466365375583769e-16 3.41437016012115513e-02 3.95672755152160827e-01
0.50 50 1.04083408558608426e-17 3.35114060313347232e-16 1.31740278645210429e+00 4.24160010658652382e+01
0.90 0 0.00000000000000000e+00 0.00000000000000000e+00 0.00000000000000000e+00 0.00000000000000000e+00
0.90 1 0.00000000000000000e+00 0.00000000000000000e+00 5.29629629629629672e-01 5.88477366255144019e-01
0.90 2 0.00000000000000000e+00 0.00000000000000000e+00 4.69601226993865084e-01 6.56784932858552439e-01
0.90 3 0.00000000000000000e+00 0.00000000000000000e+00 2.50647531891292408e-01 5.30470966965698065e-01
0.90 4 1.38777878078144568e-16 6.67401878343946979e-16 6.27458061710153558e-02 3.01753200702207680e-01
